number,times_testified,times_lied,truth_score
1,99.0,26.0,0.7373737373737373
38,62.0,7.0,0.8870967741935484
26,74.0,8.0,0.8918918918918919
14,86.0,9.0,0.8953488372093024
31,69.0,7.0,0.8985507246376812
30,70.0,7.0,0.9
19,81.0,8.0,0.9012345679012346
29,71.0,7.0,0.9014084507042254
8,92.0,9.0,0.9021739130434783
17,83.0,8.0,0.9036144578313253
35,65.0,6.0,0.9076923076923077
24,76.0,7.0,0.9078947368421053
2,98.0,9.0,0.9081632653061225
12,88.0,8.0,0.9090909090909091
34,66.0,6.0,0.9090909090909091
33,67.0,6.0,0.9104477611940298
21,79.0,7.0,0.9113924050632911
32,68.0,6.0,0.9117647058823529
20,80.0,7.0,0.9125
18,82.0,7.0,0.9146341463414634
6,94.0,8.0,0.9148936170212766
5,95.0,8.0,0.9157894736842105
3,97.0,8.0,0.9175257731958762
15,85.0,7.0,0.9176470588235294
27,73.0,6.0,0.9178082191780822
11,89.0,7.0,0.9213483146067416
23,77.0,6.0,0.922077922077922
10,90.0,7.0,0.9222222222222223
22,78.0,6.0,0.9230769230769231
7,93.0,7.0,0.9247311827956989
28,72.0,5.0,0.9305555555555556
13,87.0,6.0,0.9310344827586207
39,61.0,4.0,0.9344262295081968
9,91.0,5.0,0.945054945054945
37,63.0,3.0,0.9523809523809523
36,64.0,2.0,0.96875
25,75.0,2.0,0.9733333333333334
16,84.0,2.0,0.9761904761904762
4,96.0,2.0,0.9791666666666666
